name,description,category,previous_price,price
3-pack Slim Fit T-shirts,"Slim-fit, V-neck T-shirts in soft jersey.","Men,T-shirt",32.99,29.99
2-pack Regular Fit COOLMAX® T-shirts,"Regular-fit, crew-neck T-shirts in a soft, stretch cotton blend made with COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.","Men,T-shirt",,29.99
2-pack Relaxed Fit T-shirts,Relaxed-fit T-shirts in soft cotton jersey. Ribbed crew neck and dropped shoulders.,"Men,T-shirt",,29.99
Fine-knit Polo Shirt,"Short-sleeved, fine-knit polo shirt in cotton with a ribbed collar and button placket.","Men,T-shirt",39.99,29.99
COOLMAX® Piqué Polo Shirt,"Polo shirt in cotton-blend piqué. Collar, button placket, and short sleeves. Made with COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.","Men,T-shirt",,29.99
Muscle Fit Sports Shirt,"Shirt in fast-drying, functional fabric to help keep you dry and cool while exercising. Long, raglan-cut sleeves for a flattering fit over shoulders and chest. Rounded hem.","Men,T-shirt",,29.99
Relaxed Fit Cotton T-shirt,Relaxed-fit T-shirt in soft cotton jersey. Ribbed crew neck and dropped shoulders.,"Men,T-shirt",39.99,29.99
Regular Fit Pima Cotton T-shirt,Regular-fit T-shirt in pima cotton jersey. Ribbed crew neck and straight-cut hem with slit at sides.,"Men,T-shirt",,29.98
Relaxed Fit COOLMAX® T-shirt,"Crew-neck T-shirt in soft jersey with a printed design. Made from COOLMAX® functional fabric – a unique, soft, comfortable, and fast-drying polyester fiber to efficiently wick moisture while regulating temperature.","Men,T-shirt",49.99,24.99
Relaxed Fit Printed T-shirt,Relaxed-fit T-shirt in soft cotton jersey with a printed design. Crew neck.,"Men,T-shirt",,19.99
Cotton T-shirt,"Blank staples is a streetwear collection of minimalistic pieces – the perfect canvas for your personal style and creativity. This contemporary T-shirt is made from heavy, 7 oz/yd2 organic cotton jersey for a premium handfeel. Straight-cut, oversized, and relaxed fit with a ribbed crew neck and dropped shoulders.","Men,T-shirt",16.98,12.99
